probe_id,mean_control,mean_dmd,log2FC
207943_x_at,6.1149164955,9.508981906937501,3.3940654114375013
204913_s_at,2.3209807026666667,5.712142082937499,3.391161380270832
220918_at,3.0375821475,6.426633462187499,3.3890513146874985
209568_s_at,4.479539831333333,7.8646876855625,3.3851478542291673
219505_at,4.431704905833333,7.814152900499999,3.3824479946666663
212067_s_at,7.3127659755000005,10.663293306437499,3.3505273309374983
206304_at,6.298472145999999,9.6413022631875,3.342830117187501
201743_at,5.691579437333334,9.030090354624999,3.338510917291665
209771_x_at,5.0120121355,8.3414202100625,3.3294080745625
220532_s_at,5.379754554833333,8.687642554249999,3.307887999416666
232090_at,4.282690761666665,7.590455854000001,3.3077650923333355
235371_at,5.998849118666667,9.30515463475,3.3063055160833335
208451_s_at,3.4349668193333334,6.72643095475,3.2914641354166663
221024_s_at,4.018940381499999,7.307488936,3.288548554500001
212843_at,4.242699040666667,7.528444457375,3.285745416708332
200953_s_at,6.033171804666668,9.316042385875,3.282870581208333
204912_at,3.8338085774999997,7.115825688562499,3.282017111062499
232355_at,5.306980414333334,8.585600167875,3.2786197535416663
209220_at,4.451967928833334,7.727289991375,3.275322062541666
209823_x_at,4.3665345445,7.632140828937501,3.2656062844375002
203417_at,3.805727269,7.0385683295625,3.2328410605624995
218802_at,4.351881856666666,7.581501554562501,3.229619697895835
226841_at,5.414134549333333,8.637877233500001,3.223742684166668
232235_at,3.375739084833333,6.598825524062499,3.223086439229166
225481_at,6.235009793166667,9.4566377508125,3.2216279576458335
201721_s_at,6.854382904666667,10.0752122023125,3.2208292976458326
218499_at,4.048893558,7.261524996562501,3.212631438562501
227860_at,3.583996532999999,6.7959030531875,3.2119065201875006
227265_at,8.3654734745,11.576712303124998,3.2112388286249978
211709_s_at,3.361873419833333,6.572582415687501,3.210708995854168
221796_at,4.548546655333333,7.7579344693125005,3.209387813979167
213135_at,3.056863591666667,6.264322427875001,3.207458836208334
204914_s_at,2.451055011833333,5.654628805000001,3.2035737931666675
211368_s_at,3.785978558,6.981912835375001,3.1959342773750006
217771_at,4.179617625166666,7.371560853187501,3.1919432280208344
209191_at,8.483158368833335,11.670142668750001,3.1869842999166664
213800_at,6.656500038833332,9.841365592437498,3.1848655536041655
209901_x_at,5.291288826166667,8.474246001125001,3.182957174958334
228141_at,3.8941119883333335,7.0688852423125,3.174773253979166
203828_s_at,9.127504009166666,12.2997912625,3.1722872533333337
228771_at,3.8667418726666667,7.0344841850625,3.1677423123958337
204774_at,3.9197399785000004,7.087016051812499,3.167276073312499
221730_at,6.9942296299999995,10.1584533978125,3.1642237678124996
232914_s_at,6.251176048833333,9.4071275723125,3.1559515234791675
223620_at,4.237246621333333,7.389414225437499,3.152167604104166
240466_at,5.016275041333334,8.1633832069375,3.1471081656041653
242268_at,3.143958723333333,6.287909812937499,3.143951089604166
227070_at,5.9484092555,9.090338876312499,3.1419296208124994
224964_s_at,4.988819735833334,8.1280031196875,3.1391833838541663
201744_s_at,9.6995056445,12.835183930000001,3.135678285500001
210809_s_at,6.336683456166667,9.4576376789375,3.120954222770833
225681_at,6.522045111333334,9.6417047638125,3.119659652479166
207655_s_at,2.427325149333333,5.5461758768125,3.118850727479167
241864_x_at,3.1231195153333338,6.23847742475,3.1153579094166663
205159_at,3.512776565833333,6.6273162335,3.114539667666667
203474_at,3.972827146666667,7.081548708874999,3.1087215622083324
1555778_a_at,4.929540127,8.030479275624998,3.100939148624998
203305_at,5.743035056833333,8.8436874315,3.1006523746666668
227526_at,3.6132441293333337,6.7135429980625,3.100298868729166
210102_at,3.910460973333333,7.004018152062501,3.0935571787291676
230030_at,4.811688107333333,7.9008000135,3.089111906166667
225502_at,3.3225614769999994,6.403274058875,3.0807125818750003
212820_at,4.955104536166666,8.03511608325,3.080011547083333
230577_at,6.5067500475,9.586350714687502,3.079600667187502
221731_x_at,7.529098722833333,10.606487601749999,3.0773888789166657
230422_at,3.180225722,6.2566043395,3.0763786175
202465_at,7.587795871166667,10.66370355525,3.075907684083334
225806_at,4.488196364833334,7.55974794825,3.0715515834166665
205112_at,4.6816386586666665,7.750615840125,3.068977181458333
229585_at,3.1399307640000003,6.2077883326875005,3.0678575686875003
219304_s_at,5.356864448166667,8.424458224187498,3.067593776020831
204439_at,5.852340416166666,8.919196115125,3.066855698958334
204446_s_at,3.6294380545,6.6952771820625,3.0658391275625
222803_at,4.3681473723333335,7.432600897375,3.0644535250416665
203325_s_at,6.928337583,9.9918865240625,3.063548941062499
203697_at,8.247872523666667,11.307748602249998,3.059876078583331
226274_at,4.830065554,7.8855474001250006,3.0554818461250006
204834_at,5.824441059833333,8.876950780375001,3.052509720541668
223395_at,7.484014246333332,10.536300588687498,3.052286342354166
228273_at,2.8552349336666665,5.907222724125,3.0519877904583335
206584_at,5.0529897225000004,8.1020147370625,3.0490250145625
222278_at,3.1669715621666668,6.213174170187501,3.046202608020834
207173_x_at,5.341119929,8.382907697875,3.0417877688749995
206700_s_at,5.513032521666666,8.545348957749999,3.032316436083333
225285_at,4.720229816,7.7524129815,3.0321831655
219274_at,5.1185362405,8.144950491625002,3.0264142511250016
