entrez_id,mean_log2FC,n_probes,gene_symbol
23190.0,-0.061470135343749455,4,UBXN4
55652.0,-0.06149696800000015,3,SLC48A1
84817.0,-0.061585728125000294,2,TXNDC17
10398.0,-0.06158839350000034,2,MYL9
101929243.0,-0.0616070516249998,1,LOC101929243
22998.0,-0.061624101187499836,4,LIMCH1
285759.0,-0.061647665375000216,1,FLJ34503
23545.0,-0.061744766350000015,5,ATP6V0A2
93166.0,-0.06175085950000003,2,PRDM6
5244.0,-0.06176084124999992,2,ABCB4
4345.0,-0.061771733750000335,2,CD200
163227.0,-0.06177630312499982,1,ZNF100
5378.0,-0.0617764149750001,5,PMS1
9928.0,-0.06178155974999999,2,KIF14
10629.0,-0.061787719949999965,5,TAF6L
657.0,-0.06183878089999952,5,BMPR1A
5134.0,-0.06185836727500016,5,PDCD2
57459.0,-0.06187265906250028,2,GATAD2B
388507.0,-0.061875522874999866,1,ZNF788 /// ZNF788
639.0,-0.0619597911250002,3,PRDM1
100506054.0,-0.061969005625000406,1,RNASEH1-AS1
441441.0,-0.062010582874999276,1,FLJ41455
55626.0,-0.06202416737500038,4,AMBRA1
29907.0,-0.06203622424999988,1,SNX15
7936.0,-0.062036577875000276,1,MIR1236 /// NELFE
85444.0,-0.062059823624999844,1,LRRCC1
255374.0,-0.062095048249999785,1,MBLAC1
23184.0,-0.06212034714999985,5,MESDC2
23184.0,-0.06212034714999985,5,LOC102723954 /// MESDC2
83874.0,-0.06214622268750003,2,TBC1D10A
9656.0,-0.06214918381249923,2,MDC1
326.0,-0.062155138625000106,1,AIRE
29068.0,-0.062190749599999685,5,ZBTB44
57332.0,-0.06221775900000015,1,CBX8
140460.0,-0.06222534962499937,2,ASB7
56941.0,-0.06224557956249965,2,HMCES
56954.0,-0.062270614999999196,1,NIT2
28996.0,-0.06230065860000007,10,HIPK2
6341.0,-0.062335402124999995,1,SCO1
51686.0,-0.062351003250000314,2,OAZ3
8896.0,-0.062365343937500484,2,BUD31
5986.0,-0.062373825125001225,1,RFNG
8161.0,-0.06238202337500054,2,COIL
10461.0,-0.06238739233333327,3,MERTK
22847.0,-0.06242265937499999,3,ZNF507
23404.0,-0.06242506312500007,3,EXOSC2
65059.0,-0.06246430971875083,4,RAPH1
1290.0,-0.06256319718749825,2,COL5A2
8204.0,-0.06258107218749931,2,NRIP1
11311.0,-0.06260709493749994,2,VPS45
8744.0,-0.06261492662500023,1,TNFSF9
145173.0,-0.0626600418124994,2,B3GALTL
23080.0,-0.06267045681249983,6,AVL9
353355.0,-0.0627130088125003,2,ZNF233
55888.0,-0.06275843806250037,2,ZKSCAN7
79003.0,-0.06283109912500251,1,MIS12
55270.0,-0.06283712824999999,1,NUDT15
55236.0,-0.06285764960714298,7,UBA6
4701.0,-0.06286316262500025,2,NDUFA7
84919.0,-0.06288148687500161,1,PPP1R15B
64411.0,-0.0628880220000001,2,ARAP3
4591.0,-0.0628986424999991,2,TRIM37
26231.0,-0.06291191550000041,1,LRRC29
7697.0,-0.0629214996874996,2,ZNF138
128434.0,-0.06297469387500021,1,VSTM2L
51003.0,-0.06301100633333319,3,MED31
5493.0,-0.06301978524999896,1,PPL
50999.0,-0.0630388846874997,6,TMED5
83877.0,-0.0630427238750002,1,TM2D2
10664.0,-0.06305691987499884,1,CTCF
50.0,-0.06306558631250048,2,ACO2
7516.0,-0.06306943475000093,1,XRCC2
101.0,-0.06310358862499976,2,ADAM8
137362.0,-0.06316352581249984,2,GOT1L1
5570.0,-0.06320379556249978,2,PKIB
100130691.0,-0.06327197737500079,1,LOC100130691
64342.0,-0.06331594706249999,4,HS1BP3
94274.0,-0.06332012837499867,1,PPP1R14A
55957.0,-0.06333482325000062,2,LIN37
55870.0,-0.06336049329166753,3,ASH1L
79731.0,-0.06336453412499665,1,NARS2
93164.0,-0.06337089137500018,2,HTR7P1
26012.0,-0.06338310843750006,2,MIR7114 /// NSMF
26012.0,-0.06338310843750006,2,NSMF
9423.0,-0.06339109993749958,2,NTN1
388685.0,-0.0634114754166671,3,LINC01138
152330.0,-0.06345377199999991,2,CNTN4
59274.0,-0.06345957874999986,2,MESDC1
57786.0,-0.06348036754166679,3,RBAK
55922.0,-0.06348650475000106,1,NKRF
57804.0,-0.06351417187500097,1,POLD4
